fold,U,W,batch,method_outcome,batch_index2,batch_index,iteration,realTimeInSeconds,elapsedTimeInSeconds
fold1,15.868421052631577,104.43180590078893,batch.ind1,allDMF_postrelapse_num,1,1,1,8.469,0.423918
fold2,31.52941176470588,110.21806176269276,batch.ind1,allDMF_postrelapse_num,1,1,1,8.469,0.423918
fold3,33.39087947882736,110.97220903089446,batch.ind1,allDMF_postrelapse_num,1,1,1,8.469,0.423918
fold4,29.753289473684205,101.56984221333622,batch.ind1,allDMF_postrelapse_num,1,1,1,8.469,0.423918
fold5,13.57234726688103,81.97288999518015,batch.ind1,allDMF_postrelapse_num,1,1,1,8.469,0.423918
fold6,11.559105431309904,82.7941035616115,batch.ind1,allDMF_postrelapse_num,1,1,1,8.469,0.423918
fold7,27.86138613861386,122.67509707849634,batch.ind1,allDMF_postrelapse_num,1,1,1,8.469,0.423918
fold8,19.64169381107492,105.30959340240386,batch.ind1,allDMF_postrelapse_num,1,1,1,8.469,0.423918
fold9,33.06774193548387,100.85548122143472,batch.ind1,allDMF_postrelapse_num,1,1,1,8.469,0.423918
fold10,17.851973684210524,116.62366259591482,batch.ind1,allDMF_postrelapse_num,1,1,1,8.469,0.423918
fold1,31.6327868852459,104.63610596829031,batch.ind2,allDMF_postrelapse_num,1,2,2,8.469,0.423918
fold2,25.368932038834952,104.88977492474233,batch.ind2,allDMF_postrelapse_num,1,2,2,8.469,0.423918
fold3,15.662337662337663,89.86279634123576,batch.ind2,allDMF_postrelapse_num,1,2,2,8.469,0.423918
fold4,26.043189368770765,123.74251468411249,batch.ind2,allDMF_postrelapse_num,1,2,2,8.469,0.423918
fold5,19.57792207792208,101.66047094589189,batch.ind2,allDMF_postrelapse_num,1,2,2,8.469,0.423918
fold6,23.266881028938908,94.64943845447883,batch.ind2,allDMF_postrelapse_num,1,2,2,8.469,0.423918
fold7,29.271844660194173,96.28253025258667,batch.ind2,allDMF_postrelapse_num,1,2,2,8.469,0.423918
fold8,21.60586319218241,107.45525687416811,batch.ind2,allDMF_postrelapse_num,1,2,2,8.469,0.423918
fold9,23.41747572815534,103.66093179960527,batch.ind2,allDMF_postrelapse_num,1,2,2,8.469,0.423918
fold10,17.970198675496686,110.19644532684225,batch.ind2,allDMF_postrelapse_num,1,2,2,8.469,0.423918
fold1,27.14469453376206,84.48378087509987,batch.ind3,allDMF_postrelapse_num,1,3,3,8.469,0.423918
fold2,18.84375,70.38611396303901,batch.ind3,allDMF_postrelapse_num,1,3,3,8.469,0.423918
fold3,15.662337662337663,103.51508040214406,batch.ind3,allDMF_postrelapse_num,1,3,3,8.469,0.423918
fold4,13.794117647058822,111.65317872528888,batch.ind3,allDMF_postrelapse_num,1,3,3,8.469,0.423918
fold5,33.39087947882736,100.26540208281776,batch.ind3,allDMF_postrelapse_num,1,3,3,8.469,0.423918
fold6,29.851485148514847,116.21851302173337,batch.ind3,allDMF_postrelapse_num,1,3,3,8.469,0.423918
fold7,19.770491803278688,106.69299491702292,batch.ind3,allDMF_postrelapse_num,1,3,3,8.469,0.423918
fold8,21.676470588235293,95.84531143052703,batch.ind3,allDMF_postrelapse_num,1,3,3,8.469,0.423918
fold9,25.956953642384104,119.20546119640453,batch.ind3,allDMF_postrelapse_num,1,3,3,8.469,0.423918
fold10,28.04651162790698,130.6807834255425,batch.ind3,allDMF_postrelapse_num,1,3,3,8.469,0.423918
fold1,9.757281553398059,100.60485237535137,batch.ind4,allDMF_postrelapse_num,1,4,4,8.469,0.423918
fold2,15.81639344262295,119.40781633958325,batch.ind4,allDMF_postrelapse_num,1,4,4,8.469,0.423918
fold3,17.563106796116504,78.40553417994059,batch.ind4,allDMF_postrelapse_num,1,4,4,8.469,0.423918
fold4,29.55882352941176,102.73495188629866,batch.ind4,allDMF_postrelapse_num,1,4,4,8.469,0.423918
fold5,29.083601286173636,97.83450088143829,batch.ind4,allDMF_postrelapse_num,1,4,4,8.469,0.423918
fold6,21.535714285714285,96.20920557881544,batch.ind4,allDMF_postrelapse_num,1,4,4,8.469,0.423918
fold7,27.76973684210526,113.9246190424727,batch.ind4,allDMF_postrelapse_num,1,4,4,8.469,0.423918
fold8,23.724590163934423,116.10596829030194,batch.ind4,allDMF_postrelapse_num,1,4,4,8.469,0.423918
fold9,27.67868852459016,104.33839835728952,batch.ind4,allDMF_postrelapse_num,1,4,4,8.469,0.423918
fold10,31.42671009771987,107.32619440970109,batch.ind4,allDMF_postrelapse_num,1,4,4,8.469,0.423918
fold1,19.57792207792208,101.960638950372,batch.ind5,allDMF_postrelapse_num,1,5,5,8.469,0.423918
fold2,23.493506493506494,113.66183098215953,batch.ind5,allDMF_postrelapse_num,1,5,5,8.469,0.423918
fold3,23.64705882352941,91.77195313443653,batch.ind5,allDMF_postrelapse_num,1,5,5,8.469,0.423918
fold4,19.770491803278688,106.25455279900359,batch.ind5,allDMF_postrelapse_num,1,5,5,8.469,0.423918
fold5,25.368932038834952,97.27094754889256,batch.ind5,allDMF_postrelapse_num,1,5,5,8.469,0.423918
fold6,21.747540983606555,108.07868852459015,batch.ind5,allDMF_postrelapse_num,1,5,5,8.469,0.423918
fold7,25.61764705882353,92.95349679913032,batch.ind5,allDMF_postrelapse_num,1,5,5,8.469,0.423918
fold8,15.511254019292606,96.58701809754584,batch.ind5,allDMF_postrelapse_num,1,5,5,8.469,0.423918
fold9,28.328859060402685,146.74387773383128,batch.ind5,allDMF_postrelapse_num,1,5,5,8.469,0.423918
fold10,30.824281150159745,82.78882904396087,batch.ind5,allDMF_postrelapse_num,1,5,5,8.469,0.423918
fold1,19.64169381107492,111.33788601355101,batch.ind1,allDMF_postrelapse_num,2,1,6,7.578,0.4228773
fold2,39.93377483443708,127.94661190965091,batch.ind1,allDMF_postrelapse_num,2,1,6,7.578,0.4228773
fold3,19.96688741721854,112.76576417313731,batch.ind1,allDMF_postrelapse_num,2,1,6,7.578,0.4228773
fold4,25.78618421052631,118.17140386901545,batch.ind1,allDMF_postrelapse_num,2,1,6,7.578,0.4228773
fold5,15.461538461538462,90.67911862265045,batch.ind1,allDMF_postrelapse_num,2,1,6,7.578,0.4228773
fold6,20.033222591362126,129.2547360952881,batch.ind1,allDMF_postrelapse_num,2,1,6,7.578,0.4228773
fold7,19.451612903225808,86.39658210240445,batch.ind1,allDMF_postrelapse_num,2,1,6,7.578,0.4228773
fold8,27.057692307692307,83.40341178328859,batch.ind1,allDMF_postrelapse_num,2,1,6,7.578,0.4228773
fold9,15.561290322580646,88.61734119361462,batch.ind1,allDMF_postrelapse_num,2,1,6,7.578,0.4228773
fold10,31.223300970873787,89.88186040948146,batch.ind1,allDMF_postrelapse_num,2,1,6,7.578,0.4228773
fold1,35.70394736842105,113.09915703015238,batch.ind2,allDMF_postrelapse_num,2,2,7,7.578,0.4228773
fold2,34.78846153846154,95.39906807771284,batch.ind2,allDMF_postrelapse_num,2,2,7,7.578,0.4228773
fold3,19.835526315789473,111.60029179725494,batch.ind2,allDMF_postrelapse_num,2,2,7,7.578,0.4228773
fold4,23.724590163934426,108.71740667182817,batch.ind2,allDMF_postrelapse_num,2,2,7,7.578,0.4228773
fold5,17.45016077170418,89.47371201066969,batch.ind2,allDMF_postrelapse_num,2,2,7,7.578,0.4228773
fold6,25.125,90.74261570052126,batch.ind2,allDMF_postrelapse_num,2,2,7,7.578,0.4228773
fold7,23.493506493506494,98.93751833382224,batch.ind2,allDMF_postrelapse_num,2,2,7,7.578,0.4228773
fold8,15.920792079207919,105.43574521723218,batch.ind2,allDMF_postrelapse_num,2,2,7,7.578,0.4228773
fold9,21.535714285714285,102.0892823808635,batch.ind2,allDMF_postrelapse_num,2,2,7,7.578,0.4228773
fold10,15.973509933774833,121.90051266709273,batch.ind2,allDMF_postrelapse_num,2,2,7,7.578,0.4228773
fold1,25.78618421052631,115.42348427537014,batch.ind3,allDMF_postrelapse_num,2,3,8,7.578,0.4228773
fold2,25.61764705882353,104.84446591778395,batch.ind3,allDMF_postrelapse_num,2,3,8,7.578,0.4228773
fold3,35.821782178217816,113.5432532986358,batch.ind3,allDMF_postrelapse_num,2,3,8,7.578,0.4228773
fold4,15.412140575079873,77.61452722871333,batch.ind3,allDMF_postrelapse_num,2,3,8,7.578,0.4228773
fold5,13.660194174757281,94.65832020892725,batch.ind3,allDMF_postrelapse_num,2,3,8,7.578,0.4228773
fold6,27.588235294117645,106.75975359342914,batch.ind3,allDMF_postrelapse_num,2,3,8,7.578,0.4228773
fold7,17.506451612903227,99.68385772007684,batch.ind3,allDMF_postrelapse_num,2,3,8,7.578,0.4228773
fold8,15.561290322580646,99.43888189706564,batch.ind3,allDMF_postrelapse_num,2,3,8,7.578,0.4228773
fold9,29.65573770491803,114.48210859393409,batch.ind3,allDMF_postrelapse_num,2,3,8,7.578,0.4228773
fold10,27.86138613861386,110.94427389350844,batch.ind3,allDMF_postrelapse_num,2,3,8,7.578,0.4228773
fold1,23.64705882352941,104.87683697709062,batch.ind4,allDMF_postrelapse_num,2,4,9,7.578,0.4228773
fold2,26.043189368770765,137.0925116142632,batch.ind4,allDMF_postrelapse_num,2,4,9,7.578,0.4228773
fold3,13.83934426229508,110.89337866496112,batch.ind4,allDMF_postrelapse_num,2,4,9,7.578,0.4228773
fold4,43.49508196721311,119.29955902649206,batch.ind4,allDMF_postrelapse_num,2,4,9,7.578,0.4228773
fold5,15.314285714285715,78.46868094260292,batch.ind4,allDMF_postrelapse_num,2,4,9,7.578,0.4228773
