"Scenario","Population","Equal_sym","Unequal_1","Unequal_2","Asym_1","Asym_2"
"Scenario","","Equal symmetric","Unequal symmetric 1","Unequal symmetric 2","Asymmetric 1","Asymmetric 2"
"","","sym-20-20-20-20-20","sym-10-15-50-15-10","sym-10-30-20-30-10","asym-55-30-15","asym-55-15-15-15"
"HTE","Population","Prop. patients | ARR ratio (σ²)","Prop. patients | ARR ratio (σ²)","Prop. patients | ARR ratio (σ²)","Prop. patients | ARR ratio (σ²)","Prop. patients | ARR ratio (σ²)"
"No","Overall","100% | 0.82 (0.00)",NA,NA,NA,NA
"Low","Overall","100% | 0.94 (0.10)",NA,NA,NA,NA
"Low","Stratum 1","20% | 0.70",NA,NA,NA,NA
"Low","Stratum 2","20% | 0.75",NA,NA,NA,NA
"Low","Stratum 3","20% | 1.00",NA,NA,NA,NA
"Low","Stratum 4","20% | 1.05",NA,NA,NA,NA
"Low","Stratum 5","20% | 1.10",NA,NA,NA,NA
"Medium","Overall","100% | 0.88 (0.23)","100% | 0.93 (0.16)","100% | 0.88 (0.21)","100% | 0.55 (0.28)","100% | 0.65 (0.30)"
"Medium","Stratum 1","20% | 0.40","10% | 0.40","10% | 0.40","55% | 0.40","55% | 0.40"
"Medium","Stratum 2","20% | 0.50","15% | 0.50","30% | 0.50","30% | 0.50","15% | 0.50"
"Medium","Stratum 3","20% | 1.00","50% | 1.00","20% | 1.00","15% | 1.00","15% | 1.00"
"Medium","Stratum 4","20% | 1.10","15% | 1.10","30% | 1.10","0% | NA","15% | 1.10"
"Medium","Stratum 5","20% | 1.20","10% | 1.20","10% | 1.20","0% | NA","0% | NA"
"High","Overall","100% | 0.94 (0.32)",NA,NA,NA,NA
"High","Stratum 1","20% | 0.30",NA,NA,NA,NA
"High","Stratum 2","20% | 0.50",NA,NA,NA,NA
"High","Stratum 3","20% | 1.00",NA,NA,NA,NA
"High","Stratum 4","20% | 1.10",NA,NA,NA,NA
"High","Stratum 5","20% | 1.50",NA,NA,NA,NA
