"Variable","DMF","GA"
"n","359","350"
"age (mean (SD))","37.80 (9.40)","36.70 (9.10)"
"female = 1 (%)","245 (68.2)","247 (70.6)"
"weightbl (mean (SD))","71.90 (17.90)","71.40 (19.10)"
"white = 1 (%)","304 (84.7)","290 (82.9)"
"diagyrs (mean (SD))","4.56 (4.89)","4.54 (4.44)"
"prmsgr = 1 (%)","101 (28.1)","103 (29.4)"
"rlps1yr (mean (SD))","1.27 (0.57)","1.40 (0.52)"
"trelmos (mean (SD))","5.94 (4.08)","6.59 (5.85)"
"edssbl (mean (SD))","2.60 (1.20)","2.60 (1.20)"
"tm25zbl (mean (SD))","0.01 (0.94)","-0.05 (1.20)"
"nhptzbl (mean (SD))","0.00 (1.03)","-0.01 (0.99)"
"pasatzbl (mean (SD))","0.02 (0.99)","0.00 (1.01)"
"chrt2_5bl (mean (SD))","31.89 (12.44)","31.94 (12.61)"
"sf36pcsbl (mean (SD))","43.07 (9.91)","43.19 (10.16)"
"sf36mcsbl (mean (SD))","45.42 (11.37)","44.77 (10.65)"
